method,instance_name,config,avg_gap
SFC,HS_Random_4_11_7,set2_7types_convex,0.09286569679765813
SFC,HS_Random_4_11_7,set2_7types_linear,0.13754107129212195
SFC,HS_Random_4_11_8,set2_7types_concave,0.544039682359098
SFC,HS_Random_4_11_8,set2_7types_convex,0.09409898022709368
SFC,HS_Random_4_11_8,set2_7types_linear,0.09502643880757146
SFC,HS_Random_4_11_9,set2_7types_concave,0.7253957806491842
SFC,HS_Random_4_11_9,set2_7types_convex,0.07933762440808688
SFC,HS_Random_4_11_9,set2_7types_linear,0.1010971786833856
SFC,HS_Random_4_9_1,set2_7types_concave,0.7264941397789577
SFC,HS_Random_4_9_1,set2_7types_convex,0.061365122478748556
SFC,HS_Random_4_9_1,set2_7types_linear,0.07996832937450514
SFC,HS_Random_4_9_10,set2_7types_concave,0.4666195087445423
SFC,HS_Random_4_9_10,set2_7types_convex,0.148488120950324
SFC,HS_Random_4_9_10,set2_7types_linear,0.12434503792914679
SFC,HS_Random_4_9_2,set2_7types_concave,0.5022098219797042
SFC,HS_Random_4_9_2,set2_7types_convex,0.032935939876532164
SFC,HS_Random_4_9_2,set2_7types_linear,0.0979772439949431
SFC,HS_Random_4_9_3,set2_7types_concave,0.562547696631255
SFC,HS_Random_4_9_3,set2_7types_convex,0.015881852118671817
SFC,HS_Random_4_9_3,set2_7types_linear,0.17535692116697704
SFC,HS_Random_4_9_4,set2_7types_concave,0.31779813003658625
SFC,HS_Random_4_9_4,set2_7types_convex,0.024823870025041148
SFC,HS_Random_4_9_4,set2_7types_linear,0.16551193225558122
SFC,HS_Random_4_9_5,set2_7types_concave,0.5432645646168778
SFC,HS_Random_4_9_5,set2_7types_convex,0.0719980154031776
SFC,HS_Random_4_9_5,set2_7types_linear,0.0845699696824637
SFC,HS_Random_4_9_6,set2_7types_concave,0.4577256167509171
SFC,HS_Random_4_9_6,set2_7types_convex,0.015187329428020053
SFC,HS_Random_4_9_6,set2_7types_linear,0.1358014711826045
SFC,HS_Random_4_9_7,set2_7types_concave,0.5493762674368586
SFC,HS_Random_4_9_7,set2_7types_convex,0.07086737199232176
SFC,HS_Random_4_9_7,set2_7types_linear,0.07626985375058973
SFC,HS_Random_4_9_8,set2_7types_concave,0.45912833407286896
SFC,HS_Random_4_9_8,set2_7types_convex,0.08184940818716047
SFC,HS_Random_4_9_8,set2_7types_linear,0.17118964973177658
SFC,HS_Random_4_9_9,set2_7types_concave,0.6369579484072896
SFC,HS_Random_4_9_9,set2_7types_convex,0.06162634255353111
SFC,HS_Random_4_9_9,set2_7types_linear,0.17154879430328532
Vanilla,Correia_Random_4_3_10_1,set1_3types_linear,0.05560704355885079
Vanilla,Correia_Random_4_3_10_1,set1_5types_linear,0.07823896035008619
Vanilla,Correia_Random_4_3_10_10,set1_3types_linear,0.03147953830010493
Vanilla,Correia_Random_4_3_10_10,set1_5types_linear,0.04462527890799317
Vanilla,Correia_Random_4_3_10_2,set1_3types_linear,0.040778742436201
Vanilla,Correia_Random_4_3_10_2,set1_5types_linear,0.0631745196104238
